"epoch","aripip_sim_identical_lr_1.5e-5_stepped_seed_1042 - _step","aripip_sim_identical_lr_1.5e-5_stepped_seed_1042 - _step__MIN","aripip_sim_identical_lr_1.5e-5_stepped_seed_1042 - _step__MAX","aripip_sim_identical_lr_1.5e-5_stepped_seed_1042 - train/raw_score_mean_epoch","aripip_sim_identical_lr_1.5e-5_stepped_seed_1042 - train/raw_score_mean_epoch__MIN","aripip_sim_identical_lr_1.5e-5_stepped_seed_1042 - train/raw_score_mean_epoch__MAX","aripip_sim_identical_lr_1.5e-5_stepped_seed_123 - _step","aripip_sim_identical_lr_1.5e-5_stepped_seed_123 - _step__MIN","aripip_sim_identical_lr_1.5e-5_stepped_seed_123 - _step__MAX","aripip_sim_identical_lr_1.5e-5_stepped_seed_123 - train/raw_score_mean_epoch","aripip_sim_identical_lr_1.5e-5_stepped_seed_123 - train/raw_score_mean_epoch__MIN","aripip_sim_identical_lr_1.5e-5_stepped_seed_123 - train/raw_score_mean_epoch__MAX","aripip_sim_identical_lr_1.5e-5_stepped_seed_42 - _step","aripip_sim_identical_lr_1.5e-5_stepped_seed_42 - _step__MIN","aripip_sim_identical_lr_1.5e-5_stepped_seed_42 - _step__MAX","aripip_sim_identical_lr_1.5e-5_stepped_seed_42 - train/raw_score_mean_epoch","aripip_sim_identical_lr_1.5e-5_stepped_seed_42 - train/raw_score_mean_epoch__MIN","aripip_sim_identical_lr_1.5e-5_stepped_seed_42 - train/raw_score_mean_epoch__MAX"
"10","22","22","22","0.2007550150156021","0.2007550150156021","0.2007550150156021","22","22","22","0.18516796827316284","0.18516796827316284","0.18516796827316284","22","22","22","0.2168986052274704","0.2168986052274704","0.2168986052274704"
"11","24","24","24","0.20956195890903473","0.20956195890903473","0.20956195890903473","24","24","24","0.1728154569864273","0.1728154569864273","0.1728154569864273","24","24","24","0.18501242995262146","0.18501242995262146","0.18501242995262146"
"12","26","26","26","0.22546763718128204","0.22546763718128204","0.22546763718128204","26","26","26","0.21209610998630524","0.21209610998630524","0.21209610998630524","26","26","26","0.196604385972023","0.196604385972023","0.196604385972023"
"13","28","28","28","0.20136383175849915","0.20136383175849915","0.20136383175849915","28","28","28","0.18983076512813568","0.18983076512813568","0.18983076512813568","28","28","28","0.19616736471652985","0.19616736471652985","0.19616736471652985"
"14","30","30","30","0.20112201571464539","0.20112201571464539","0.20112201571464539","30","30","30","0.19346486032009125","0.19346486032009125","0.19346486032009125","30","30","30","0.1962164044380188","0.1962164044380188","0.1962164044380188"
"15","32","32","32","0.2113298922777176","0.2113298922777176","0.2113298922777176","32","32","32","0.21630758047103882","0.21630758047103882","0.21630758047103882","32","32","32","0.20119816064834595","0.20119816064834595","0.20119816064834595"
"16","34","34","34","0.20565970242023468","0.20565970242023468","0.20565970242023468","34","34","34","0.21556000411510468","0.21556000411510468","0.21556000411510468","34","34","34","0.20823884010314941","0.20823884010314941","0.20823884010314941"
"17","36","36","36","0.19525335729122162","0.19525335729122162","0.19525335729122162","36","36","36","0.2147275060415268","0.2147275060415268","0.2147275060415268","36","36","36","0.2153095006942749","0.2153095006942749","0.2153095006942749"
"18","38","38","38","0.21276846528053284","0.21276846528053284","0.21276846528053284","38","38","38","0.2110174298286438","0.2110174298286438","0.2110174298286438","38","38","38","0.20673465728759766","0.20673465728759766","0.20673465728759766"
"19","41","41","41","0.21749062836170197","0.21749062836170197","0.21749062836170197","41","41","41","0.22221888601779938","0.22221888601779938","0.22221888601779938","41","41","41","0.20629125833511353","0.20629125833511353","0.20629125833511353"
"20","43","43","43","0.18581584095954895","0.18581584095954895","0.18581584095954895","43","43","43","0.2040143460035324","0.2040143460035324","0.2040143460035324","43","43","43","0.20829810202121735","0.20829810202121735","0.20829810202121735"
