"epoch","ari_sim_identical_lr_1e-6_clip_0.1_seed_123 - _step","ari_sim_identical_lr_1e-6_clip_0.1_seed_123 - _step__MIN","ari_sim_identical_lr_1e-6_clip_0.1_seed_123 - _step__MAX","ari_sim_identical_lr_1e-6_clip_0.1_seed_123 - train/reward_max_epoch","ari_sim_identical_lr_1e-6_clip_0.1_seed_123 - train/reward_max_epoch__MIN","ari_sim_identical_lr_1e-6_clip_0.1_seed_123 - train/reward_max_epoch__MAX","ari_sim_identical_lr_1e-6_clip_0.1_seed_976 - _step","ari_sim_identical_lr_1e-6_clip_0.1_seed_976 - _step__MIN","ari_sim_identical_lr_1e-6_clip_0.1_seed_976 - _step__MAX","ari_sim_identical_lr_1e-6_clip_0.1_seed_976 - train/reward_max_epoch","ari_sim_identical_lr_1e-6_clip_0.1_seed_976 - train/reward_max_epoch__MIN","ari_sim_identical_lr_1e-6_clip_0.1_seed_976 - train/reward_max_epoch__MAX","ari_sim_identical_lr_1e-6_clip_0.1_seed_42 - _step","ari_sim_identical_lr_1e-6_clip_0.1_seed_42 - _step__MIN","ari_sim_identical_lr_1e-6_clip_0.1_seed_42 - _step__MAX","ari_sim_identical_lr_1e-6_clip_0.1_seed_42 - train/reward_max_epoch","ari_sim_identical_lr_1e-6_clip_0.1_seed_42 - train/reward_max_epoch__MIN","ari_sim_identical_lr_1e-6_clip_0.1_seed_42 - train/reward_max_epoch__MAX"
"34","72","72","72","0.25850340723991394","0.25850340723991394","0.25850340723991394","72","72","72","0.23376622796058655","0.23376622796058655","0.23376622796058655","104","104","104","0.2222222238779068","0.2222222238779068","0.2222222238779068"
"35","74","74","74","0.2708333432674408","0.2708333432674408","0.2708333432674408","74","74","74","0.23529411852359772","0.23529411852359772","0.23529411852359772","106","106","106","0.23870967328548431","0.23870967328548431","0.23870967328548431"
"36","76","76","76","0.2380952388048172","0.2380952388048172","0.2380952388048172","76","76","76","0.22727273404598236","0.22727273404598236","0.22727273404598236","108","108","108","0.21367521584033966","0.21367521584033966","0.21367521584033966"
"37","78","78","78","0.26174497604370117","0.26174497604370117","0.26174497604370117","78","78","78","0.20382165908813477","0.20382165908813477","0.20382165908813477","110","110","110","0.22875817120075226","0.22875817120075226","0.22875817120075226"
"38","80","80","80","0.22875817120075226","0.22875817120075226","0.22875817120075226","80","80","80","0.2620689570903778","0.2620689570903778","0.2620689570903778","112","112","112","0.24161073565483093","0.24161073565483093","0.24161073565483093"
"39","83","83","83","0.21794871985912323","0.21794871985912323","0.21794871985912323","83","83","83","0.21854305267333984","0.21854305267333984","0.21854305267333984","115","115","115","0.2467532455921173","0.2467532455921173","0.2467532455921173"
"40","85","85","85","0.20512820780277252","0.20512820780277252","0.20512820780277252","85","85","85","0.20915032923221588","0.20915032923221588","0.20915032923221588","117","117","117","0.23225806653499603","0.23225806653499603","0.23225806653499603"
"41","87","87","87","0.24390244483947754","0.24390244483947754","0.24390244483947754","87","87","87","0.23489932715892792","0.23489932715892792","0.23489932715892792","119","119","119","0.21710526943206787","0.21710526943206787","0.21710526943206787"
"42","89","89","89","0.21052631735801697","0.21052631735801697","0.21052631735801697","89","89","89","0.2371794879436493","0.2371794879436493","0.2371794879436493","121","121","121","0.2266666740179062","0.2266666740179062","0.2266666740179062"
"43","91","91","91","0.24025973677635193","0.24025973677635193","0.24025973677635193","91","91","91","0.2397260218858719","0.2397260218858719","0.2397260218858719","123","123","123","0.21794871985912323","0.21794871985912323","0.21794871985912323"
