"epoch","aripip_sim_identical_lr_1.5e-5_stepped_seed_1042 - _step","aripip_sim_identical_lr_1.5e-5_stepped_seed_1042 - _step__MIN","aripip_sim_identical_lr_1.5e-5_stepped_seed_1042 - _step__MAX","aripip_sim_identical_lr_1.5e-5_stepped_seed_1042 - train/reward_max_epoch","aripip_sim_identical_lr_1.5e-5_stepped_seed_1042 - train/reward_max_epoch__MIN","aripip_sim_identical_lr_1.5e-5_stepped_seed_1042 - train/reward_max_epoch__MAX","aripip_sim_identical_lr_1.5e-5_stepped_seed_123 - _step","aripip_sim_identical_lr_1.5e-5_stepped_seed_123 - _step__MIN","aripip_sim_identical_lr_1.5e-5_stepped_seed_123 - _step__MAX","aripip_sim_identical_lr_1.5e-5_stepped_seed_123 - train/reward_max_epoch","aripip_sim_identical_lr_1.5e-5_stepped_seed_123 - train/reward_max_epoch__MIN","aripip_sim_identical_lr_1.5e-5_stepped_seed_123 - train/reward_max_epoch__MAX","aripip_sim_identical_lr_1.5e-5_stepped_seed_42 - _step","aripip_sim_identical_lr_1.5e-5_stepped_seed_42 - _step__MIN","aripip_sim_identical_lr_1.5e-5_stepped_seed_42 - _step__MAX","aripip_sim_identical_lr_1.5e-5_stepped_seed_42 - train/reward_max_epoch","aripip_sim_identical_lr_1.5e-5_stepped_seed_42 - train/reward_max_epoch__MIN","aripip_sim_identical_lr_1.5e-5_stepped_seed_42 - train/reward_max_epoch__MAX"
"10","22","22","22","0.492000013589859","0.492000013589859","0.492000013589859","22","22","22","0.571052610874176","0.571052610874176","0.571052610874176","22","22","22","0.49705880880355835","0.49705880880355835","0.49705880880355835"
"11","24","24","24","0.4361344575881958","0.4361344575881958","0.4361344575881958","24","24","24","0.49639639258384705","0.49639639258384705","0.49639639258384705","24","24","24","0.5607143044471741","0.5607143044471741","0.5607143044471741"
"12","26","26","26","0.6222222447395325","0.6222222447395325","0.6222222447395325","26","26","26","0.4642857015132904","0.4642857015132904","0.4642857015132904","26","26","26","0.46065574884414673","0.46065574884414673","0.46065574884414673"
"13","28","28","28","0.5608527064323425","0.5608527064323425","0.5608527064323425","28","28","28","0.45384615659713745","0.45384615659713745","0.45384615659713745","28","28","28","0.49473685026168823","0.49473685026168823","0.49473685026168823"
"14","30","30","30","0.48759689927101135","0.48759689927101135","0.48759689927101135","30","30","30","0.4404255449771881","0.4404255449771881","0.4404255449771881","30","30","30","0.5681818127632141","0.5681818127632141","0.5681818127632141"
"15","32","32","32","0.554411768913269","0.554411768913269","0.554411768913269","32","32","32","0.4884297549724579","0.4884297549724579","0.4884297549724579","32","32","32","0.4583333432674408","0.4583333432674408","0.4583333432674408"
"16","34","34","34","0.4488372206687927","0.4488372206687927","0.4488372206687927","34","34","34","0.4529411792755127","0.4529411792755127","0.4529411792755127","34","34","34","0.4813559353351593","0.4813559353351593","0.4813559353351593"
"17","36","36","36","0.5953124761581421","0.5953124761581421","0.5953124761581421","36","36","36","0.4389830529689789","0.4389830529689789","0.4389830529689789","36","36","36","0.573423445224762","0.573423445224762","0.573423445224762"
"18","38","38","38","0.4884297549724579","0.4884297549724579","0.4884297549724579","38","38","38","0.5933962464332581","0.5933962464332581","0.5933962464332581","38","38","38","0.5688034296035767","0.5688034296035767","0.5688034296035767"
"19","41","41","41","0.5944444537162781","0.5944444537162781","0.5944444537162781","41","41","41","0.5646341443061829","0.5646341443061829","0.5646341443061829","41","41","41","0.6184684634208679","0.6184684634208679","0.6184684634208679"
"20","43","43","43","0.4504273533821106","0.4504273533821106","0.4504273533821106","43","43","43","0.5926229357719421","0.5926229357719421","0.5926229357719421","43","43","43","0.5720183253288269","0.5720183253288269","0.5720183253288269"
"21","45","45","45","0.5565040707588196","0.5565040707588196","0.5565040707588196","45","45","45","0.4650793671607971","0.4650793671607971","0.4650793671607971","45","45","45","0.5515748262405396","0.5515748262405396","0.5515748262405396"
"22","47","47","47","0.6004504561424255","0.6004504561424255","0.6004504561424255","47","47","47","0.43870967626571655","0.43870967626571655","0.43870967626571655","47","47","47","0.4888888895511627","0.4888888895511627","0.4888888895511627"
"23","49","49","49","0.5604477524757385","0.5604477524757385","0.5604477524757385","49","49","49","0.46065574884414673","0.46065574884414673","0.46065574884414673","49","49","49","0.49639639258384705","0.49639639258384705","0.49639639258384705"
"24","51","51","51","0.4809523820877075","0.4809523820877075","0.4809523820877075","51","51","51","0.5565040707588196","0.5565040707588196","0.5565040707588196","51","51","51","0.5718749761581421","0.5718749761581421","0.5718749761581421"
"25","53","53","53","0.5918604731559753","0.5918604731559753","0.5918604731559753","53","53","53","0.498305082321167","0.498305082321167","0.498305082321167","53","53","53","0.48686131834983826","0.48686131834983826","0.48686131834983826"
"26","55","55","55","0.5944444537162781","0.5944444537162781","0.5944444537162781","55","55","55","0.5532258152961731","0.5532258152961731","0.5532258152961731","55","55","55","0.4821138083934784","0.4821138083934784","0.4821138083934784"
"27","57","57","57","0.4388429820537567","0.4388429820537567","0.4388429820537567","57","57","57","0.5706349015235901","0.5706349015235901","0.5706349015235901","57","57","57","0.5604477524757385","0.5604477524757385","0.5604477524757385"
"28","59","59","59","0.49166667461395264","0.49166667461395264","0.49166667461395264","59","59","59","0.6068965792655945","0.6068965792655945","0.6068965792655945","59","59","59","0.447826087474823","0.447826087474823","0.447826087474823"
"29","62","62","62","0.4656716287136078","0.4656716287136078","0.4656716287136078","62","62","62","0.4790322482585907","0.4790322482585907","0.4790322482585907","62","62","62","0.4906249940395355","0.4906249940395355","0.4906249940395355"
"30","64","64","64","0.4909090995788574","0.4909090995788574","0.4909090995788574","64","64","64","0.4650793671607971","0.4650793671607971","0.4650793671607971","64","64","64","0.48848921060562134","0.48848921060562134","0.48848921060562134"
"31","66","66","66","0.4333333373069763","0.4333333373069763","0.4333333373069763","66","66","66","0.5810344815254211","0.5810344815254211","0.5810344815254211","66","66","66","0.5517094135284424","0.5517094135284424","0.5517094135284424"
