set,idx,sucos,features,shape
DiffSBDD,17,0.2884007740177028,0.042930153486583085,0.5338713945488225
DiffSBDD,18,0.4549292501330978,0.28555276104376764,0.6243057392224279
DiffSBDD,19,0.23946438080074037,0.1119927435858495,0.36693601801563125
DiffSBDD,20,0.17435494518760358,0.12292481021090353,0.22578508016430365
DiffSBDD,21,0.33766575253991515,0.1295652165016188,0.5457662885782115
DiffSBDD,22,0.26012299838432856,0.19272584879666607,0.327520147971991
DiffSBDD,23,0.3842397065558977,0.1351416770135256,0.6333377360982697
DiffSBDD,24,0.12493820980260352,0.04300265886495583,0.2068737607402512
DiffSBDD,25,0.3668512396097987,0.16786947670537217,0.5658330025142253
DiffSBDD,26,0.39075581987509606,0.14189223972376153,0.6396194000264306
DiffSBDD,27,0.3004865323627856,0.0549065388543991,0.5460665258711721
DiffSBDD,28,0.34107245922832163,0.1143730351675186,0.5677718832891246
DiffSBDD,29,0.3297922323881343,0.09733228396738676,0.5622521808088818
DiffSBDD,30,0.35735237535169173,0.1454109130942853,0.5692938376090981
DiffSBDD,31,0.24365720156116924,0.014491184124976998,0.47282321899736146
DiffSBDD,32,0.2557725235681314,0.07970885162767628,0.43183619550858654
DiffSBDD,33,0.4040382214029637,0.23951899205886928,0.5685574507470581
DiffSBDD,34,0.4149205767272641,0.28802057297959416,0.5418205804749341
DiffSBDD,35,0.3955199455940572,0.13971455820644488,0.6513253329816695
DiffSBDD,36,0.39094562285624224,0.31812886947486074,0.46376237623762373
DiffSBDD,37,0.3050381934253685,0.10380741496212674,0.5062689718886102
DiffSBDD,38,0.2809542009165164,0.036522670592099134,0.5253857312409337
DiffSBDD,39,0.37297617958636214,0.36448456614210123,0.38146779303062306
DiffSBDD,40,0.29730648225084355,0.08530603380861777,0.5093069306930693
DiffSBDD,41,0.38646539221216575,0.16707492856847572,0.6058558558558558
DiffSBDD,42,0.4692273440529915,0.3128265474024654,0.6256281407035176
DiffSBDD,43,0.17876331456993927,0.047924198813633634,0.3096024303262449
DiffSBDD,44,0.29013190024848634,0.07286226732224367,0.507401533174729
DiffSBDD,45,0.3067974581497045,0.06549264956245593,0.5481022667369531
DiffSBDD,46,0.3576253654280982,0.1487560901257479,0.5664946407304485
DiffSBDD,47,0.22651547244964892,0.048624031058421724,0.4044069138408761
DiffSBDD,48,0.22559166538053174,0.16908784004488314,0.28209549071618034
DiffSBDD,49,0.2876205776471292,0.04962897792827572,0.5256121773659828
DiffSBDD,50,0.2686941057205219,0.17603147394599294,0.3613567374950508
DiffSBDD,51,0.3055583286004986,0.11171213159559819,0.49940452560539894
DiffSBDD,52,0.352814385266358,0.16554940545335087,0.5400793650793652
DiffSBDD,53,0.33224448786286587,0.13236311639204576,0.532125859333686
DiffSBDD,54,0.37738491387006695,0.20300465518955865,0.5517651725505752
DiffSBDD,55,0.3249064147393964,0.08895996230888144,0.5608528671699113
DiffSBDD,56,0.3385993309006959,0.16856319706836598,0.5086354647330258
DiffSBDD,57,0.42654619477434697,0.20667041965167773,0.6464219698970162
DiffSBDD,58,0.38320990428764534,0.15064910457317734,0.6157707040021133
DiffSBDD,59,0.25757163270664435,0.15013731853870171,0.365005946874587
DiffSBDD,60,0.48665462574507,0.3736538048959179,0.5996554465942221
DiffSBDD,61,0.2981446669072403,0.11156509098945742,0.48472424282502313
DiffSBDD,62,0.3071526537260319,0.12104955500562112,0.4932557524464427
DiffSBDD,63,0.23756133831145915,0.14152531688694467,0.3335973597359736
DiffSBDD,64,0.29184045894840593,0.09239263912173266,0.4912882787750792
DiffSBDD,65,0.26518238111925463,0.08614060151950323,0.44422416071900606
DiffSBDD,66,0.35638883575221264,0.1731181756617435,0.5396594958426818
DiffSBDD,67,0.2878672673593022,0.035798009989696754,0.5399365247289076
DiffSBDD,68,0.15418812604087406,0.0670971823143063,0.24127906976744184
DiffSBDD,69,0.20270306975904884,0.12425935658772379,0.2811467829303739
DiffSBDD,70,0.3301071473523413,0.13807870596409855,0.5221355887405841
DiffSBDD,71,0.31826003399690284,0.11141435974856258,0.525105708245243
DiffSBDD,72,0.35611299239766114,0.13778036705508986,0.5744456177402324
DiffSBDD,73,0.2514832386375039,0.11131191501434495,0.39165456226066286
DiffSBDD,74,0.3408586823234122,0.10185212485292826,0.5798652397938961
DiffSBDD,75,0.3404621549270921,0.11724943561537039,0.5636748742388138
DiffSBDD,76,0.3639124437598973,0.09176147932956996,0.6360634081902246
DiffSBDD,77,0.3087123486616068,0.12800111191866576,0.4894235854045479
DiffSBDD,78,0.38683228022338834,0.18985792988278252,0.5838066305639942
DiffSBDD,79,0.3371409392451542,0.15936635578703479,0.5149155227032736
DiffSBDD,80,0.47199309611529155,0.3097913612166666,0.6341948310139165
DiffSBDD,81,0.3200961597679044,0.1466841054393594,0.4935082140964494
DiffSBDD,82,0.4001333118514071,0.20097958911078886,0.5992870345920254
DiffSBDD,83,0.24394706157943008,0.152046564603878,0.33584755855498216
DiffSBDD,84,0.3960495144241416,0.20646585837423076,0.5856331704740525
DiffSBDD,85,0.3800183598639761,0.13143508081703492,0.6286016389109172
DiffSBDD,86,0.3144155466434893,0.11820403058070804,0.5106270627062706
DiffSBDD,87,0.38475238281022694,0.19051561505152034,0.5789891505689335
DiffSBDD,88,0.3560341114863594,0.18922961579676223,0.5228386071759565
DiffSBDD,89,0.3269449405905246,0.32491816561139547,0.32897171556965377
DiffSBDD,90,0.3839921700481709,0.15928868792242873,0.6086956521739131
DiffSBDD,91,0.29463352276261473,0.11303243676050023,0.47623460876472923
DiffSBDD,92,0.3837484268396575,0.17889595444630782,0.5886008992330072
DiffSBDD,93,0.4221085635958789,0.2605204697733406,0.5836966574184173
DiffSBDD,94,0.28301171534281194,0.07696463817310087,0.48905879251252304
DiffSBDD,95,0.3025841853831105,0.08461861524884282,0.5205497555173781
DiffSBDD,96,0.29475926550015974,0.10167176746002887,0.48784676354029066
DiffSBDD,97,0.3400067437549053,0.18292431047885002,0.49708917703096056
