method,n_mols,QED_mean,QED_median,SA_mean,SA_median,logP_mean,logP_median,Lipinski_mean,Lipinski_median,diversity
PRISM,680,0.748,0.763,4.543,4.56,2.592,2.563,4.965,5.0,0.894
DiffSBDD,689,0.63,0.663,4.387,4.471,2.577,2.589,4.884,5.0,0.903
