filename,original_molecules,valid_molecules,initially_valid_molecules,fixed_molecules,unfixable_molecules,qed_mean,qed_std,sa_mean,sa_std,logp_mean,logp_std,lipinski_violations_mean,lipinski_violations_std,diversity
DiffSBDD_7mra_25.sdf,100,96,95,1,4,0.648562120927571,0.1678458771635525,0.6448958333333333,0.10652654981727429,2.258099791666668,1.4693158882920512,0.0625,0.2818281095514309,0.686811082161751
DiffSBDD_7t2i_25.sdf,100,100,98,2,0,0.577695762804915,0.18823254811709245,0.6225000000000002,0.0762938398561771,1.7840535000000008,1.62245577958068,0.11,0.31288975694324034,0.7246658484139415
