"epoch","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_123 - _step","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_123 - _step__MIN","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_123 - _step__MAX","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_123 - train/approx_kl_epoch","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_123 - train/approx_kl_epoch__MIN","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_123 - train/approx_kl_epoch__MAX","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_42 - _step","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_42 - _step__MIN","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_42 - _step__MAX","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_42 - train/approx_kl_epoch","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_42 - train/approx_kl_epoch__MIN","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_42 - train/approx_kl_epoch__MAX","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_976 - _step","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_976 - _step__MIN","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_976 - _step__MAX","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_976 - train/approx_kl_epoch","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_976 - train/approx_kl_epoch__MIN","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_976 - train/approx_kl_epoch__MAX"
"0","1","1","1","0.025391127914190292","0.025391127914190292","0.025391127914190292","1","1","1","0.02500632032752037","0.02500632032752037","0.02500632032752037","1","1","1","0.024508163332939148","0.024508163332939148","0.024508163332939148"
"1","3","3","3","0.025795336812734604","0.025795336812734604","0.025795336812734604","3","3","3","0.025418788194656372","0.025418788194656372","0.025418788194656372","3","3","3","0.025459280237555504","0.025459280237555504","0.025459280237555504"
"2","5","5","5","0.02418419159948826","0.02418419159948826","0.02418419159948826","5","5","5","0.025927245616912842","0.025927245616912842","0.025927245616912842","5","5","5","0.024732910096645355","0.024732910096645355","0.024732910096645355"
"3","7","7","7","0.025157539173960686","0.025157539173960686","0.025157539173960686","7","7","7","0.02538393810391426","0.02538393810391426","0.02538393810391426","7","7","7","0.025454066693782806","0.025454066693782806","0.025454066693782806"
"4","9","9","9","0.02425491064786911","0.02425491064786911","0.02425491064786911","9","9","9","0.025436632335186005","0.025436632335186005","0.025436632335186005","9","9","9","0.024667836725711823","0.024667836725711823","0.024667836725711823"
"5","11","11","11","0.025181669741868973","0.025181669741868973","0.025181669741868973","11","11","11","0.025045378133654594","0.025045378133654594","0.025045378133654594","11","11","11","0.023907391354441643","0.023907391354441643","0.023907391354441643"
"6","13","13","13","0.02469358965754509","0.02469358965754509","0.02469358965754509","13","13","13","0.025243043899536133","0.025243043899536133","0.025243043899536133","13","13","13","0.023468680679798126","0.023468680679798126","0.023468680679798126"
"7","15","15","15","0.02417023852467537","0.02417023852467537","0.02417023852467537","15","15","15","0.025357704609632492","0.025357704609632492","0.025357704609632492","15","15","15","0.02344241924583912","0.02344241924583912","0.02344241924583912"
"8","17","17","17","0.024085737764835358","0.024085737764835358","0.024085737764835358","17","17","17","0.02591966837644577","0.02591966837644577","0.02591966837644577","17","17","17","0.02391747385263443","0.02391747385263443","0.02391747385263443"
"9","20","20","20","0.024533040821552277","0.024533040821552277","0.024533040821552277","20","20","20","0.026311755180358887","0.026311755180358887","0.026311755180358887","20","20","20","0.024018222466111183","0.024018222466111183","0.024018222466111183"
"10","22","22","22","0.023411914706230164","0.023411914706230164","0.023411914706230164","22","22","22","0.025782212615013123","0.025782212615013123","0.025782212615013123","22","22","22","0.02345358580350876","0.02345358580350876","0.02345358580350876"
"11","24","24","24","0.023639537394046783","0.023639537394046783","0.023639537394046783","24","24","24","0.026827266439795494","0.026827266439795494","0.026827266439795494","24","24","24","0.024240493774414062","0.024240493774414062","0.024240493774414062"
"12","26","26","26","0.024314366281032562","0.024314366281032562","0.024314366281032562","26","26","26","0.026125304400920868","0.026125304400920868","0.026125304400920868","26","26","26","0.02347712591290474","0.02347712591290474","0.02347712591290474"
"13","28","28","28","0.023428302258253098","0.023428302258253098","0.023428302258253098","28","28","28","0.02665919065475464","0.02665919065475464","0.02665919065475464","28","28","28","0.02342255972325802","0.02342255972325802","0.02342255972325802"
"14","30","30","30","0.02288682572543621","0.02288682572543621","0.02288682572543621","30","30","30","0.026964206248521805","0.026964206248521805","0.026964206248521805","30","30","30","0.023290246725082397","0.023290246725082397","0.023290246725082397"
"15","32","32","32","0.023913536220788956","0.023913536220788956","0.023913536220788956","32","32","32","0.027109574526548386","0.027109574526548386","0.027109574526548386","32","32","32","0.024075672030448914","0.024075672030448914","0.024075672030448914"
"16","34","34","34","0.023471850901842117","0.023471850901842117","0.023471850901842117","34","34","34","0.027312781661748886","0.027312781661748886","0.027312781661748886","34","34","34","0.023535821586847305","0.023535821586847305","0.023535821586847305"
"17","36","36","36","0.023931320756673813","0.023931320756673813","0.023931320756673813","36","36","36","0.028293052688241005","0.028293052688241005","0.028293052688241005","36","36","36","0.02325034886598587","0.02325034886598587","0.02325034886598587"
"18","38","38","38","0.023355156183242798","0.023355156183242798","0.023355156183242798","38","38","38","0.02701849490404129","0.02701849490404129","0.02701849490404129","38","38","38","0.024477459490299225","0.024477459490299225","0.024477459490299225"
"19","41","41","41","0.02469772845506668","0.02469772845506668","0.02469772845506668","41","41","41","0.027810823172330856","0.027810823172330856","0.027810823172330856","40","40","40","0.023517969995737076","0.023517969995737076","0.023517969995737076"
"20","43","43","43","0.023534100502729416","0.023534100502729416","0.023534100502729416","43","43","43","0.026920201256871223","0.026920201256871223","0.026920201256871223","42","42","42","0.022890333086252213","0.022890333086252213","0.022890333086252213"
"21","45","45","45","0.02367684245109558","0.02367684245109558","0.02367684245109558","45","45","45","0.02734675444662571","0.02734675444662571","0.02734675444662571","44","44","44","0.023725230246782303","0.023725230246782303","0.023725230246782303"
"22","47","47","47","0.023533623665571213","0.023533623665571213","0.023533623665571213","47","47","47","0.02705908566713333","0.02705908566713333","0.02705908566713333","46","46","46","0.02369977906346321","0.02369977906346321","0.02369977906346321"
"23","49","49","49","0.024133294820785522","0.024133294820785522","0.024133294820785522","49","49","49","0.0264903511852026","0.0264903511852026","0.0264903511852026","48","48","48","0.023685533553361893","0.023685533553361893","0.023685533553361893"
"24","51","51","51","0.024013828486204147","0.024013828486204147","0.024013828486204147","51","51","51","0.02626774087548256","0.02626774087548256","0.02626774087548256","50","50","50","0.02344510331749916","0.02344510331749916","0.02344510331749916"
"25","53","53","53","0.023420751094818115","0.023420751094818115","0.023420751094818115","53","53","53","0.02628900855779648","0.02628900855779648","0.02628900855779648","52","52","52","0.02342626079916954","0.02342626079916954","0.02342626079916954"
"26","55","55","55","0.025052418932318687","0.025052418932318687","0.025052418932318687","55","55","55","0.02608133852481842","0.02608133852481842","0.02608133852481842","54","54","54","0.023694941774010658","0.023694941774010658","0.023694941774010658"
"27","57","57","57","0.02471633441746235","0.02471633441746235","0.02471633441746235","57","57","57","0.026759658008813858","0.026759658008813858","0.026759658008813858","56","56","56","0.023583415895700455","0.023583415895700455","0.023583415895700455"
"28","59","59","59","0.02515433356165886","0.02515433356165886","0.02515433356165886","59","59","59","0.026124197989702225","0.026124197989702225","0.026124197989702225","58","58","58","0.023436598479747772","0.023436598479747772","0.023436598479747772"
"29","62","62","62","0.026454657316207886","0.026454657316207886","0.026454657316207886","62","62","62","0.024717159569263458","0.024717159569263458","0.024717159569263458","61","61","61","0.022889435291290283","0.022889435291290283","0.022889435291290283"
"30","64","64","64","0.02530180662870407","0.02530180662870407","0.02530180662870407","64","64","64","0.025538088753819466","0.025538088753819466","0.025538088753819466","63","63","63","0.023640459403395653","0.023640459403395653","0.023640459403395653"
"31","66","66","66","0.025792090222239494","0.025792090222239494","0.025792090222239494","66","66","66","0.025876639410853386","0.025876639410853386","0.025876639410853386","65","65","65","0.024378113448619843","0.024378113448619843","0.024378113448619843"
"32","68","68","68","0.026735760271549225","0.026735760271549225","0.026735760271549225","68","68","68","0.025757066905498505","0.025757066905498505","0.025757066905498505","67","67","67","0.024301014840602875","0.024301014840602875","0.024301014840602875"
"33","70","70","70","0.025597456842660904","0.025597456842660904","0.025597456842660904","70","70","70","0.025639913976192474","0.025639913976192474","0.025639913976192474","69","69","69","0.024320553988218307","0.024320553988218307","0.024320553988218307"
"34","72","72","72","0.027011647820472717","0.027011647820472717","0.027011647820472717","72","72","72","0.02585456892848015","0.02585456892848015","0.02585456892848015","71","71","71","0.025568613782525063","0.025568613782525063","0.025568613782525063"
"35","74","74","74","0.02689168229699135","0.02689168229699135","0.02689168229699135","74","74","74","0.025390494614839554","0.025390494614839554","0.025390494614839554","73","73","73","0.024697570130228996","0.024697570130228996","0.024697570130228996"
"36","76","76","76","0.026991333812475204","0.026991333812475204","0.026991333812475204","76","76","76","0.026386311277747154","0.026386311277747154","0.026386311277747154","75","75","75","0.02547464333474636","0.02547464333474636","0.02547464333474636"
