"epoch","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_123 - _step","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_123 - _step__MIN","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_123 - _step__MAX","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_123 - train/raw_score_mean_epoch","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_123 - train/raw_score_mean_epoch__MIN","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_123 - train/raw_score_mean_epoch__MAX","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_42 - _step","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_42 - _step__MIN","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_42 - _step__MAX","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_42 - train/raw_score_mean_epoch","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_42 - train/raw_score_mean_epoch__MIN","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_42 - train/raw_score_mean_epoch__MAX","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_976 - _step","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_976 - _step__MIN","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_976 - _step__MAX","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_976 - train/raw_score_mean_epoch","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_976 - train/raw_score_mean_epoch__MIN","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_976 - train/raw_score_mean_epoch__MAX"
"47","99","99","99","0.3021221458911896","0.3021221458911896","0.3021221458911896","99","99","99","0.2931036055088043","0.2931036055088043","0.2931036055088043","98","98","98","0.3017948567867279","0.3017948567867279","0.3017948567867279"
"48","101","101","101","0.3036235272884369","0.3036235272884369","0.3036235272884369","101","101","101","0.29623061418533325","0.29623061418533325","0.29623061418533325","100","100","100","0.29561731219291687","0.29561731219291687","0.29561731219291687"
"49","104","104","104","0.30085018277168274","0.30085018277168274","0.30085018277168274","104","104","104","0.2944433093070984","0.2944433093070984","0.2944433093070984","103","103","103","0.29609963297843933","0.29609963297843933","0.29609963297843933"
"50","106","106","106","0.29175621271133423","0.29175621271133423","0.29175621271133423","106","106","106","0.3003617823123932","0.3003617823123932","0.3003617823123932","105","105","105","0.2862630784511566","0.2862630784511566","0.2862630784511566"
"51","108","108","108","0.2968042194843292","0.2968042194843292","0.2968042194843292","108","108","108","0.29446887969970703","0.29446887969970703","0.29446887969970703","107","107","107","0.3059982359409332","0.3059982359409332","0.3059982359409332"
"52","110","110","110","0.29968690872192383","0.29968690872192383","0.29968690872192383","110","110","110","0.3016358017921448","0.3016358017921448","0.3016358017921448","109","109","109","0.29308390617370605","0.29308390617370605","0.29308390617370605"
"53","112","112","112","0.2933766841888428","0.2933766841888428","0.2933766841888428","112","112","112","0.2861381471157074","0.2861381471157074","0.2861381471157074","111","111","111","0.2843180298805237","0.2843180298805237","0.2843180298805237"
"54","114","114","114","0.30881863832473755","0.30881863832473755","0.30881863832473755","114","114","114","0.2903667390346527","0.2903667390346527","0.2903667390346527","113","113","113","0.2876380681991577","0.2876380681991577","0.2876380681991577"
"55","116","116","116","0.310787171125412","0.310787171125412","0.310787171125412","116","116","116","0.2979571223258972","0.2979571223258972","0.2979571223258972","115","115","115","0.29487597942352295","0.29487597942352295","0.29487597942352295"
"56","118","118","118","0.30086085200309753","0.30086085200309753","0.30086085200309753","118","118","118","0.3025497496128082","0.3025497496128082","0.3025497496128082","117","117","117","0.29514795541763306","0.29514795541763306","0.29514795541763306"
