"epoch","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_123 - _step","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_123 - _step__MIN","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_123 - _step__MAX","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_123 - train/raw_score_max_epoch","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_123 - train/raw_score_max_epoch__MIN","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_123 - train/raw_score_max_epoch__MAX","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_42 - _step","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_42 - _step__MIN","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_42 - _step__MAX","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_42 - train/raw_score_max_epoch","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_42 - train/raw_score_max_epoch__MIN","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_42 - train/raw_score_max_epoch__MAX","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_976 - _step","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_976 - _step__MIN","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_976 - _step__MAX","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_976 - train/raw_score_max_epoch","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_976 - train/raw_score_max_epoch__MIN","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_976 - train/raw_score_max_epoch__MAX"
"10","22","22","22","0.45085301995277405","0.45085301995277405","0.45085301995277405","22","22","22","0.43288347125053406","0.43288347125053406","0.43288347125053406","22","22","22","0.42594921588897705","0.42594921588897705","0.42594921588897705"
"11","24","24","24","0.45792239904403687","0.45792239904403687","0.45792239904403687","24","24","24","0.4419414699077606","0.4419414699077606","0.4419414699077606","24","24","24","0.4564753472805023","0.4564753472805023","0.4564753472805023"
"12","26","26","26","0.4601757824420929","0.4601757824420929","0.4601757824420929","26","26","26","0.4607795178890228","0.4607795178890228","0.4607795178890228","26","26","26","0.45440036058425903","0.45440036058425903","0.45440036058425903"
"13","28","28","28","0.4326535761356354","0.4326535761356354","0.4326535761356354","28","28","28","0.4775502681732178","0.4775502681732178","0.4775502681732178","28","28","28","0.41729578375816345","0.41729578375816345","0.41729578375816345"
"14","30","30","30","0.43300068378448486","0.43300068378448486","0.43300068378448486","30","30","30","0.40957942605018616","0.40957942605018616","0.40957942605018616","30","30","30","0.4411342442035675","0.4411342442035675","0.4411342442035675"
"15","32","32","32","0.4124802052974701","0.4124802052974701","0.4124802052974701","32","32","32","0.46313413977622986","0.46313413977622986","0.46313413977622986","32","32","32","0.43120381236076355","0.43120381236076355","0.43120381236076355"
"16","34","34","34","0.3982667028903961","0.3982667028903961","0.3982667028903961","34","34","34","0.4580009877681732","0.4580009877681732","0.4580009877681732","34","34","34","0.4525764286518097","0.4525764286518097","0.4525764286518097"
"17","36","36","36","0.4218076467514038","0.4218076467514038","0.4218076467514038","36","36","36","0.4585472345352173","0.4585472345352173","0.4585472345352173","36","36","36","0.4524560868740082","0.4524560868740082","0.4524560868740082"
"18","38","38","38","0.46135613322257996","0.46135613322257996","0.46135613322257996","38","38","38","0.43608158826828003","0.43608158826828003","0.43608158826828003","38","38","38","0.4418516159057617","0.4418516159057617","0.4418516159057617"
"19","41","41","41","0.4170286953449249","0.4170286953449249","0.4170286953449249","41","41","41","0.4381973445415497","0.4381973445415497","0.4381973445415497","40","40","40","0.43141329288482666","0.43141329288482666","0.43141329288482666"
