"epoch","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_123 - _step","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_123 - _step__MIN","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_123 - _step__MAX","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_123 - train/clipfrac_epoch","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_123 - train/clipfrac_epoch__MIN","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_123 - train/clipfrac_epoch__MAX","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_42 - _step","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_42 - _step__MIN","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_42 - _step__MAX","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_42 - train/clipfrac_epoch","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_42 - train/clipfrac_epoch__MIN","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_42 - train/clipfrac_epoch__MAX","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_976 - _step","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_976 - _step__MIN","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_976 - _step__MAX","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_976 - train/clipfrac_epoch","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_976 - train/clipfrac_epoch__MIN","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_976 - train/clipfrac_epoch__MAX"
"10","22","22","22","0.0007936508045531809","0.0007936508045531809","0.0007936508045531809","22","22","22","0.0012962962500751019","0.0012962962500751019","0.0012962962500751019","22","22","22","0.0006349206087179482","0.0006349206087179482","0.0006349206087179482"
"11","24","24","24","0.0012169311521574855","0.0012169311521574855","0.0012169311521574855","24","24","24","0.0021957671269774437","0.0021957671269774437","0.0021957671269774437","24","24","24","0.0008465608116239309","0.0008465608116239309","0.0008465608116239309"
"12","26","26","26","0.0006613756413571537","0.0006613756413571537","0.0006613756413571537","26","26","26","0.002089946996420622","0.002089946996420622","0.002089946996420622","26","26","26","0.0006349206087179482","0.0006349206087179482","0.0006349206087179482"
"13","28","28","28","0.0011111111380159855","0.0011111111380159855","0.0011111111380159855","28","28","28","0.0013756613479927182","0.0013756613479927182","0.0013756613479927182","28","28","28","0.0005291005363687873","0.0005291005363687873","0.0005291005363687873"
"14","30","30","30","0.00042328040581196547","0.00042328040581196547","0.00042328040581196547","30","30","30","0.0029365080408751965","0.0029365080408751965","0.0029365080408751965","30","30","30","0.000370370369637385","0.000370370369637385","0.000370370369637385"
"15","32","32","32","0.0005820105434395373","0.0005820105434395373","0.0005820105434395373","32","32","32","0.0022486771922558546","0.0022486771922558546","0.0022486771922558546","32","32","32","0.0006878306739963591","0.0006878306739963591","0.0006878306739963591"
"16","34","34","34","0.0005555555690079927","0.0005555555690079927","0.0005555555690079927","34","34","34","0.00296296295709908","0.00296296295709908","0.00296296295709908","34","34","34","0.0004761904710903764","0.0004761904710903764","0.0004761904710903764"
"17","36","36","36","0.0010582010727375746","0.0010582010727375746","0.0010582010727375746","36","36","36","0.0037566137034446","0.0037566137034446","0.0037566137034446","36","36","36","0.0007936508045531809","0.0007936508045531809","0.0007936508045531809"
"18","38","38","38","0.0005820105434395373","0.0005820105434395373","0.0005820105434395373","38","38","38","0.0019047618843615055","0.0019047618843615055","0.0019047618843615055","38","38","38","0.0007936508045531809","0.0007936508045531809","0.0007936508045531809"
"19","41","41","41","0.0008201057789847255","0.0008201057789847255","0.0008201057789847255","41","41","41","0.002328042173758149","0.002328042173758149","0.002328042173758149","40","40","40","0.0006878306739963591","0.0006878306739963591","0.0006878306739963591"
