epoch,timestep,mol_idx,old_log_prob,new_log_prob,ratio,reward,advantage,surr1,surr2,entropy,approx_kl,clipfrac
46,62.0,0,-3.3687546253204346,-3.3571853637695312,1.0116363763809204,0.9238059520721436,1.0701172351837158,1.0825694799423218,1.0825694799423218,3.783865213394165,0.04699332267045975,0.03999999910593033
46,28.0,1,-3.7092113494873047,-3.727437973022461,0.9819384217262268,0.8648242354393005,0.8739739656448364,0.8581886291503906,0.8581886291503906,3.783865213394165,0.04699332267045975,0.03999999910593033
46,23.0,2,-3.2949163913726807,-3.3630781173706055,0.9341093897819519,0.8157436847686768,0.7107569575309753,0.6639247536659241,0.6639247536659241,3.783865213394165,0.04699332267045975,0.03999999910593033
46,85.0,3,-3.9324872493743896,-3.9867031574249268,0.9472275376319885,0.301502525806427,-0.999347984790802,-0.9466099143028259,-0.9466099143028259,3.783865213394165,0.04699332267045975,0.03999999910593033
46,112.0,4,-4.142254829406738,-4.139732360839844,1.0025256872177124,0.8796433210372925,0.9232547283172607,0.9255865812301636,0.9255865812301636,3.783865213394165,0.04699332267045975,0.03999999910593033
46,13.0,5,-4.242889404296875,-4.250171661376953,0.9927441477775574,0.5932605266571045,-0.029109029099345207,-0.02889781817793846,-0.02889781817793846,3.783865213394165,0.04699332267045975,0.03999999910593033
46,13.0,6,-3.0930960178375244,-3.264725685119629,0.8422910571098328,0.492702841758728,-0.3635128140449524,-0.3061836063861847,-0.3061836063861847,3.783865213394165,0.04699332267045975,0.03999999910593033
46,43.0,7,-3.465247869491577,-3.4861249923706055,0.9793393611907959,0.5884000658988953,-0.045272454619407654,-0.04433709755539894,-0.04433709755539894,3.783865213394165,0.04699332267045975,0.03999999910593033
46,41.0,8,-3.2788262367248535,-3.310814380645752,0.968518078327179,0.6525815725326538,0.16816264390945435,0.16286855936050415,0.16286855936050415,3.783865213394165,0.04699332267045975,0.03999999910593033
46,120.0,9,-3.4522807598114014,-3.460369110107422,0.9919442534446716,0.6476449370384216,0.15174590051174164,0.15052346885204315,0.15052346885204315,3.783865213394165,0.04699332267045975,0.03999999910593033
46,73.0,10,-4.241402626037598,-4.256625652313232,0.9848923087120056,0.2009236067533493,-1.3338223695755005,-1.313671350479126,-1.313671350479126,3.783865213394165,0.04699332267045975,0.03999999910593033
46,20.0,11,-3.436039447784424,-3.5213632583618164,0.9182149171829224,0.8146770000457764,0.7072097063064575,0.6493704915046692,0.6493704915046692,3.783865213394165,0.04699332267045975,0.03999999910593033
46,110.0,12,-3.7452809810638428,-3.756380796432495,0.9889615774154663,0.9095271825790405,1.0226331949234009,1.0113449096679688,1.0113449096679688,3.783865213394165,0.04699332267045975,0.03999999910593033
46,2.0,13,-2.361985683441162,-2.4131786823272705,0.9500952959060669,0.8608179092407227,0.8606509566307068,0.8177004456520081,0.8177004456520081,3.783865213394165,0.04699332267045975,0.03999999910593033
46,52.0,14,-3.8175160884857178,-3.8658077716827393,0.9528558254241943,0.714080274105072,0.3726761043071747,0.3551065921783447,0.3551065921783447,3.783865213394165,0.04699332267045975,0.03999999910593033
46,8.0,15,-2.3584299087524414,-2.5854811668395996,0.7968799471855164,0.8388781547546387,0.7876904606819153,0.6276947259902954,0.6301524043083191,3.783865213394165,0.04699332267045975,0.03999999910593033
